"","EVENT","M","Period","dBe"
"117","4000095",8.26,0.03,0.0144471443911195
"118","4000096",7.65,0.03,0.352877924835369
"119","4000165",6.74,0.03,-0.443951500753734
"120","6000057",8.41,0.03,1.30032744513882
"121","6000079",8.15,0.03,-0.054891894956626
"122","6000149",8.81,0.03,0.190293043711579
"123","6000272",8,0.03,-0.186732616668614
"124","6000323",7.98,0.03,-0.641931337823886
"125","6000338",8.31,0.03,0.0753329343500314
"126","6000339",7.82,0.03,-0.254221327901419
"127","ak0219neiszm",8.2,0.03,0.333359990483313
"128","us10007mn3",7.6,0.03,0.721168471266202
"129","us2000d3km",7.2,0.03,0.793473719607471
"130","us7000asvb",7.8,0.03,0.113016278201849
"131","us7000i9bw",7.6,0.03,0.168803802259855
"132","us7000kg30",7.2,0.03,0.215136780535802
"133","3000105",7.66,0.04,-1.20087878523321
"134","3000177",7.38,0.04,-0.838185394050106
"135","4000001",9.12,0.04,-0.830335733080728
"136","4000002",7.36,0.04,0.111149279363236
"137","4000068",8.29,0.04,0.106977450922489
"138","4000094",7.76,0.04,0.175489111852118
"139","4000095",8.26,0.04,0.0160318723529717
"140","4000096",7.65,0.04,0.372747575300439
"141","4000165",6.74,0.04,-0.450699224833165
"142","6000057",8.41,0.04,1.26358541130491
"143","6000079",8.15,0.04,-0.062043396417026
"144","6000149",8.81,0.04,0.165865717105162
"145","6000272",8,0.04,-0.222125861084898
"146","6000323",7.98,0.04,-0.657485936240742
"147","6000338",8.31,0.04,0.0716418705270946
"148","6000339",7.82,0.04,-0.308303924178434
"149","ak0219neiszm",8.2,0.04,0.33507769873607
"150","us10007mn3",7.6,0.04,0.692380169194902
"151","us2000d3km",7.2,0.04,0.783137660256703
"152","us7000asvb",7.8,0.04,0.105894313578462
"153","us7000i9bw",7.6,0.04,0.155913923664978
"154","us7000kg30",7.2,0.04,0.2141662009588
"155","3000105",7.66,0.05,-1.24916338512758
"156","3000177",7.38,0.05,-0.722978745399898
"157","4000001",9.12,0.05,-0.806395330724961
"158","4000002",7.36,0.05,0.151298248282894
"159","4000068",8.29,0.05,0.169433156494507
"160","4000094",7.76,0.05,0.178643705315024
"161","4000095",8.26,0.05,0.00999073197072674
"162","4000096",7.65,0.05,0.373537751883222
"163","4000165",6.74,0.05,-0.450429939657256
"164","6000057",8.41,0.05,1.25460966839206
"165","6000079",8.15,0.05,-0.0593247786127462
"166","6000149",8.81,0.05,0.129283531969138
"167","6000272",8,0.05,-0.126482172557135
"168","6000323",7.98,0.05,-0.716653663730949
"169","6000338",8.31,0.05,0.0781666041512326
"170","6000339",7.82,0.05,-0.342121526951168
"171","ak0219neiszm",8.2,0.05,0.314350647962495
