"","EVENT","M","Period","dBe"
"468","4000094",7.76,3,-0.258442957645424
"469","4000096",7.65,3,-0.290360590363645
"470","4000165",6.74,3,-0.395447601506923
"471","6000057",8.41,3,1.09434478013424
"472","6000079",8.15,3,-0.051711832859552
"473","6000149",8.81,3,0.0758844062011573
"474","6000272",8,3,0.17753342501089
"475","6000323",7.98,3,-0.556701949067449
"476","6000338",8.31,3,-0.233628292595016
"477","6000339",7.82,3,0.194892110415689
"478","ak0219neiszm",8.2,3,0.567564233003394
"479","us10007mn3",7.6,3,0.885606304009083
"480","us2000d3km",7.2,3,0.70238487397578
"481","us7000asvb",7.8,3,0.209342424752207
"482","us7000i9bw",7.6,3,0.356886073699605
"483","us7000kg30",7.2,3,0.0115867845067454
"484","3000105",7.66,4,-0.173878008709478
"485","3000177",7.38,4,-0.756225155080875
"486","4000001",9.12,4,-0.740012920205965
"487","4000002",7.36,4,-0.459764142918595
"488","4000068",8.29,4,-0.112168469779516
"489","4000094",7.76,4,-0.363709295395636
"490","4000096",7.65,4,-0.309649244290385
"491","4000165",6.74,4,-0.421266359566438
"492","6000057",8.41,4,1.08209073732597
"493","6000079",8.15,4,-0.12560503771557
"494","6000149",8.81,4,0.0786529124631903
"495","6000272",8,4,0.124023480885852
"496","6000323",7.98,4,-0.704453482928485
"497","6000338",8.31,4,-0.19587588547502
"498","6000339",7.82,4,0.0565883901947307
"499","ak0219neiszm",8.2,4,0.568413897519709
"500","us10007mn3",7.6,4,1.0467956239244
"501","us2000d3km",7.2,4,0.738029802198471
"502","us7000asvb",7.8,4,0.0899835009934728
"503","us7000i9bw",7.6,4,0.64206468360199
"504","us7000kg30",7.2,4,-0.0640350270417992
"505","3000105",7.66,5,-0.122644895941564
"506","4000001",9.12,5,-0.722301550001033
"507","4000002",7.36,5,-0.490514359928841
"508","4000068",8.29,5,0.0138208355746523
"509","4000094",7.76,5,-0.417603164739495
"510","4000096",7.65,5,-0.384508896200347
"511","4000165",6.74,5,-0.47355848606069
"512","6000057",8.41,5,0.803295531226625
"513","6000079",8.15,5,-0.182691099159585
"514","6000149",8.81,5,0.0669406979655357
"515","6000272",8,5,-0.00672279521051054
"516","6000338",8.31,5,-0.23758299982221
"517","6000339",7.82,5,0.12288625912394
"518","ak0219neiszm",8.2,5,0.451175604588413
"519","us10007mn3",7.6,5,0.930701539173877
"520","us2000d3km",7.2,5,0.428256982826125
"521","us7000asvb",7.8,5,-0.154958385556832
"522","us7000i9bw",7.6,5,0.629805527467506
"523","us7000kg30",7.2,5,-0.253796345325579
"524","3000105",7.66,7.5,0.0530214874049219
"525","4000001",9.12,7.5,-0.717888538954669
"526","4000002",7.36,7.5,-0.510642544662826
"527","4000068",8.29,7.5,0.01334032924389
"528","4000094",7.76,7.5,-0.381890091767829
"529","4000165",6.74,7.5,-0.414914106322319
"530","6000057",8.41,7.5,0.313857850979944
"531","6000079",8.15,7.5,-0.170723070895427
"532","6000149",8.81,7.5,0.190465795178055
"533","6000272",8,7.5,-0.13295470974252
"534","6000338",8.31,7.5,0.00955565884806195
"535","6000339",7.82,7.5,0.456030941864373
"536","ak0219neiszm",8.2,7.5,0.498279532494055
"537","us10007mn3",7.6,7.5,0.495438926719066
"538","us2000d3km",7.2,7.5,0.210818581195766
"539","us7000asvb",7.8,7.5,-0.213482351183765
"540","us7000i9bw",7.6,7.5,0.41134254703065
"541","us7000kg30",7.2,7.5,-0.109656237429402
"542","3000105",7.66,10,-0.0149125014951003
"543","4000001",9.12,10,-0.655965123808415
"544","4000002",7.36,10,-0.0818492408319365
"545","4000068",8.29,10,-0.0481510273539046
"546","4000094",7.76,10,-0.383510442647442
"547","4000165",6.74,10,-0.398105857611421
"548","6000079",8.15,10,-0.0213315531038903
"549","6000149",8.81,10,0.341137136368712
"550","6000272",8,10,-0.250623195866095
"551","6000338",8.31,10,0.220501662197679
"552","6000339",7.82,10,0.667586837308099
"553","ak0219neiszm",8.2,10,0.353240919059671
"554","us10007mn3",7.6,10,0.568881345760063
"555","us2000d3km",7.2,10,0.205389336993157
"556","us7000asvb",7.8,10,-0.340651598026976
"557","us7000kg30",7.2,10,-0.161636696942225
