"","EVENT","M","Period","dBe"
"117","4000095",8.26,0.03,-0.113793167224359
"118","4000096",7.65,0.03,0.250103255404331
"119","4000165",6.74,0.03,-0.396978483933271
"120","6000057",8.41,0.03,0.867715178335509
"121","6000079",8.15,0.03,-0.110286430683579
"122","6000149",8.81,0.03,-0.220521400337204
"123","6000272",8,0.03,-0.048791720102955
"124","6000323",7.98,0.03,-0.281347850805154
"125","6000338",8.31,0.03,-0.254658924843584
"126","6000339",7.82,0.03,0.233280235473473
"127","ak0219neiszm",8.2,0.03,0.326611508166467
"128","us10007mn3",7.6,0.03,0.704292983040581
"129","us2000d3km",7.2,0.03,0.592853184066308
"130","us7000asvb",7.8,0.03,0.273817876678204
"131","us7000i9bw",7.6,0.03,0.116062199085513
"132","us7000kg30",7.2,0.03,0.265453948256807
"133","3000105",7.66,0.04,-0.780981242985977
"134","3000177",7.38,0.04,-0.959966781435843
"135","4000001",9.12,0.04,-0.329785368361078
"136","4000002",7.36,0.04,-0.228744277878863
"137","4000068",8.29,0.04,0.0555404895917263
"138","4000094",7.76,0.04,0.248145306648448
"139","4000095",8.26,0.04,-0.112929624400061
"140","4000096",7.65,0.04,0.259098346614284
"141","4000165",6.74,0.04,-0.411547659826357
"142","6000057",8.41,0.04,0.822202746343698
"143","6000079",8.15,0.04,-0.119995138079425
"144","6000149",8.81,0.04,-0.253303930872394
"145","6000272",8,0.04,-0.0826393143666902
"146","6000323",7.98,0.04,-0.293364089057807
"147","6000338",8.31,0.04,-0.267617002783783
"148","6000339",7.82,0.04,0.18815901121554
"149","ak0219neiszm",8.2,0.04,0.338122684792786
"150","us10007mn3",7.6,0.04,0.681217809965204
"151","us2000d3km",7.2,0.04,0.586938969786092
"152","us7000asvb",7.8,0.04,0.274152051608319
"153","us7000i9bw",7.6,0.04,0.108277938225945
"154","us7000kg30",7.2,0.04,0.279019075256254
"155","3000105",7.66,0.05,-0.820585443601566
"156","3000177",7.38,0.05,-0.846621870537905
"157","4000001",9.12,0.05,-0.299114478927245
"158","4000002",7.36,0.05,-0.198764064880072
"159","4000068",8.29,0.05,0.115500483354135
"160","4000094",7.76,0.05,0.245564968099289
"161","4000095",8.26,0.05,-0.116889851554874
"162","4000096",7.65,0.05,0.252111133388682
"163","4000165",6.74,0.05,-0.416994275090171
"164","6000057",8.41,0.05,0.800423938640168
"165","6000079",8.15,0.05,-0.118441780018699
"166","6000149",8.81,0.05,-0.293142035417362
"167","6000272",8,0.05,0.00223045642361701
"168","6000323",7.98,0.05,-0.344260839428278
"169","6000338",8.31,0.05,-0.26660118984298
"170","6000339",7.82,0.05,0.160741448733166
"171","ak0219neiszm",8.2,0.05,0.32627203386442
"172","us10007mn3",7.6,0.05,0.643421420176999
"173","us2000d3km",7.2,0.05,0.563407847874182
"174","us7000asvb",7.8,0.05,0.253340343490715
"175","us7000i9bw",7.6,0.05,0.0862863853663878
"176","us7000kg30",7.2,0.05,0.272115369887372
"177","3000105",7.66,0.075,-0.940047955539679
"178","3000177",7.38,0.075,-0.958586765162718
"179","4000001",9.12,0.075,-0.289384776030846
"180","4000002",7.36,0.075,-0.045136767748679
"181","4000068",8.29,0.075,0.16283895671096
"182","4000094",7.76,0.075,0.237262409053496
"183","4000095",8.26,0.075,-0.176716888179529
"184","4000096",7.65,0.075,0.372558687237918
"185","4000165",6.74,0.075,-0.423340042367257
"186","6000057",8.41,0.075,0.852768433361103
"187","6000079",8.15,0.075,-0.120733054485591
"188","6000149",8.81,0.075,-0.295262146399191
"189","6000272",8,0.075,-0.07355684847809
"190","6000323",7.98,0.075,-0.32482903706552
"191","6000338",8.31,0.075,-0.172626225170155
"192","6000339",7.82,0.075,0.0806134000714522
"193","ak0219neiszm",8.2,0.075,0.291033887753156
"194","us10007mn3",7.6,0.075,0.64027879585387
"195","us2000d3km",7.2,0.075,0.622008096776022
"196","us7000asvb",7.8,0.075,0.219039551412809
"197","us7000i9bw",7.6,0.075,0.0400432148341539
"198","us7000kg30",7.2,0.075,0.301925280821629
"199","3000105",7.66,0.1,-0.971933930771301
"200","3000177",7.38,0.1,-0.877266370257492
"201","4000001",9.12,0.1,-0.259555411239658
"202","4000002",7.36,0.1,-0.00893353967989338
"203","4000068",8.29,0.1,0.173386927756726
"204","4000094",7.76,0.1,0.297840997173635
"205","4000095",8.26,0.1,-0.207274902238391
"206","4000096",7.65,0.1,0.3205874450193
"207","4000165",6.74,0.1,-0.414876921869464
"208","6000057",8.41,0.1,0.843582894267631
"209","6000079",8.15,0.1,-0.114735267339315
"210","6000149",8.81,0.1,-0.298059335933224
"211","6000272",8,0.1,-0.07152041965447
"212","6000323",7.98,0.1,-0.367062887821732
"213","6000338",8.31,0.1,-0.16581086276247
"214","6000339",7.82,0.1,0.0520870264270896
"215","ak0219neiszm",8.2,0.1,0.304245153303359
"216","us10007mn3",7.6,0.1,0.658217646246218
"217","us2000d3km",7.2,0.1,0.567833509180253
"218","us7000asvb",7.8,0.1,0.216438324947807
"219","us7000i9bw",7.6,0.1,-0.00143793197152233
"220","us7000kg30",7.2,0.1,0.324218473453432
