"","NGAsubEQID","Station_Name","M","Rp","Period","dWe"
"1","3000105","AALA",7.66,163.568308611007,-1,0.416328515622554
"2","3000105","ACAR",7.66,158.65391176244,-1,-0.0728763525110625
"3","3000105","AFBR",7.66,158.321440401121,-1,0.497337596324812
"4","3000105","AORT",7.66,133.312813130742,-1,-0.32039053779754
"5","3000105","APMR",7.66,142.896007510298,-1,0.526418339965986
"6","3000105","ASRM",7.66,138.498449027644,-1,0.793549366367467
"7","3000105","GCNS",7.66,103.684301850908,-1,-0.195893718310772
"8","3000105","GJTS",7.66,103.434260331622,-1,-0.515018136747052
"9","3000105","GLCR",7.66,151.419586710106,-1,0.494246309043797
"10","3000105","GLIB",7.66,108.579767141409,-1,-0.0279869850402248
"11","3000105","GNSR",7.66,76.0282413702249,-1,-0.551772533122396
"12","3000105","GNYA",7.66,73.1485931999934,-1,-0.786877302476989
"13","3000105","GSTC",7.66,84.7895168550045,-1,-0.22883461753947
"14","3000105","GSTR",7.66,129.026792587055,-1,-0.255640502393239
"15","3000105","GTGA",7.66,93.8274966220976,-1,-0.245102860713538
"16","3000105","PJAC",7.66,128.651202937739,-1,0.0254203437359162
"17","3000105","PPQR",7.66,97.3809530568225,-1,0.252621052976043
"18","3000105","PPUN",7.66,107.600606255751,-1,0.0435344973313256
"19","3000105","SCCH",7.66,160.135748043536,-1,0.0304512774766534
"20","3000177","COPL",7.38,45.7694494995692,-1,-0.632300988953114
"21","3000177","OCTT",7.38,124.881255994106,-1,0.564604745523498
"22","3000177","POZU",7.38,123.339942175849,-1,-0.210058805964416
"23","3000177","VIGA",7.38,72.1701540440883,-1,-0.500920780810224
"24","4000001","40320",9.12,497.875984419817,-1,-0.416115338265067
"25","4000001","41203",9.12,362.776984252382,-1,-0.333358602008869
"26","4000001","41204",9.12,348.204666303138,-1,-0.368631888392627
"27","4000001","41206",9.12,286.560416590888,-1,-0.191419854227415
"28","4000001","41207",9.12,273.976354687892,-1,-0.38693771122674
"29","4000001","41208",9.12,243.28083038145,-1,-0.127178126442212
"30","4000001","41209",9.12,252.581179744445,-1,0.453390525337345
"31","4000001","41215",9.12,280.15068871429,-1,0.248542901860996
"32","4000001","41216",9.12,237.704657210069,-1,-0.598296284010394
"33","4000001","41301",9.12,382.512495239121,-1,0.314739816832663
"34","4000001","41303",9.12,352.679486018556,-1,-0.0718922223265763
"35","4000001","41304",9.12,369.109330518399,-1,-0.430637983549838
"36","4000001","41306",9.12,430.955225316331,-1,-0.335212544680578
"37","4000001","41307",9.12,393.218607213617,-1,-0.128648298607251
"38","4000001","41309",9.12,414.612578970882,-1,0.0330188985332662
"39","4000001","41310",9.12,392.856805825908,-1,0.201202390475344
"40","4000001","41311",9.12,392.1586608834,-1,0.353758668602684
"41","4000001","41314",9.12,430.486188105801,-1,0.267563533923494
"42","4000001","41315",9.12,397.726839182595,-1,0.418657092527029
"43","4000001","41316",9.12,445.826258290631,-1,0.303553133214522
"44","4000001","41317",9.12,408.112568292226,-1,0.360957612858697
"45","4000001","41318",9.12,420.10587270364,-1,0.0672289743011243
"46","4000001","41319",9.12,428.299120177367,-1,0.0411842741034794
"47","4000001","41320",9.12,438.937463635409,-1,0.278231757753751
"48","4000001","41322",9.12,427.728725040065,-1,0.243393594559836
"49","4000001","41323",9.12,443.279549721248,-1,0.0990318662413388
"50","4000001","41324",9.12,466.232223880649,-1,0.00252238123716575
"51","4000001","41325",9.12,459.745677111233,-1,0.204696951806226
"52","4000001","41337",9.12,465.804919790583,-1,-0.0233286371387509
"53","4000001","41338",9.12,473.991746963294,-1,0.432842120239361
"54","4000001","41343",9.12,486.632158142013,-1,0.834924552838213
"55","4000001","41346",9.12,511.324481819034,-1,0.111961896758445
"56","4000001","41347",9.12,533.876395800551,-1,-0.224691746793081
"57","4000001","42203",9.12,425.568720176636,-1,-0.733013645827945
"58","4000001","42204",9.12,386.213265639186,-1,0.230039821106654
"59","4000001","42205",9.12,322.132828386851,-1,-0.539548471768892
"60","4000001","42206",9.12,337.515641990854,-1,-0.305876637440452
"61","4000001","42207",9.12,257.655017653938,-1,-0.720547096058478
"62","4000001","42209",9.12,368.938354276924,-1,-0.823653411101111
"63","4000001","42210",9.12,245.757504394953,-1,-0.774981173464097
"64","4000001","42211",9.12,236.714677729468,-1,0.0696345692242799
"65","4000001","42212",9.12,242.683776630285,-1,0.499206145560644
"66","4000001","42213",9.12,244.973300263881,-1,0.197190360500917
"67","4000001","42214",9.12,261.811955527699,-1,-0.116616135882316
"68","4000001","42226",9.12,294.201423435583,-1,0.236513608900371
"69","4000001","42227",9.12,265.321595571554,-1,-0.347306934735554
"70","4000001","42301",9.12,353.834033209314,-1,0.648184153558608
"71","4000001","42302",9.12,320.74344268305,-1,0.463622178917828
"72","4000001","42303",9.12,344.078333050912,-1,0.709045538961068
"73","4000001","42305",9.12,383.875912058138,-1,0.405907986026747
"74","4000001","42306",9.12,342.399669816909,-1,0.310654249671643
"75","4000001","42307",9.12,327.654026629794,-1,0.461614369328089
"76","4000001","42308",9.12,318.461562259135,-1,-0.0747287408695785
"77","4000001","42310",9.12,386.03337432036,-1,-0.0979431845627894
"78","4000001","42311",9.12,417.846727827626,-1,-0.0532552736883707
"79","4000001","42312",9.12,418.388838842367,-1,-0.14041041234126
"80","4000001","42313",9.12,379.490789124469,-1,0.138404855349997
"81","4000001","42314",9.12,413.293819577518,-1,0.169860728747667
