"","EVENT","M","Period","dBe"
"117","4000095",8.26,0.03,-0.195236237968404
"118","4000096",7.65,0.03,0.254042359505671
"119","4000165",6.74,0.03,-0.296516034089956
"120","6000057",8.41,0.03,0.704094143340851
"121","6000079",8.15,0.03,-0.277053035055516
"122","6000149",8.81,0.03,-0.0466209239718449
"123","6000272",8,0.03,0.0411565649604213
"124","6000323",7.98,0.03,-0.34096755457336
"125","6000338",8.31,0.03,-0.0195648750523423
"126","6000339",7.82,0.03,0.210286493872038
"127","ak0219neiszm",8.2,0.03,0.28730146579708
"128","us10007mn3",7.6,0.03,0.617945763227113
"129","us2000d3km",7.2,0.03,0.501866207464646
"130","us7000asvb",7.8,0.03,0.162386630735304
"131","us7000i9bw",7.6,0.03,0.0738451513831301
"132","us7000kg30",7.2,0.03,0.211804488639232
"133","3000105",7.66,0.04,-0.686228170245621
"134","3000177",7.38,0.04,-0.601359060047282
"135","4000001",9.12,0.04,-0.226074186403328
"136","4000002",7.36,0.04,-0.249629976091794
"137","4000068",8.29,0.04,-0.111284823190889
"138","4000094",7.76,0.04,0.182716586225334
"139","4000095",8.26,0.04,-0.192391991411088
"140","4000096",7.65,0.04,0.258555506238666
"141","4000165",6.74,0.04,-0.308201178956575
"142","6000057",8.41,0.04,0.656519385118461
"143","6000079",8.15,0.04,-0.290398114355847
"144","6000149",8.81,0.04,-0.0766912617540562
"145","6000272",8,0.04,0.0104786547416312
"146","6000323",7.98,0.04,-0.352484782475462
"147","6000338",8.31,0.04,-0.0292236020438824
"148","6000339",7.82,0.04,0.1670060357241
"149","ak0219neiszm",8.2,0.04,0.300238314066561
"150","us10007mn3",7.6,0.04,0.595335185353851
"151","us2000d3km",7.2,0.04,0.494484092532285
"152","us7000asvb",7.8,0.04,0.163416724840095
"153","us7000i9bw",7.6,0.04,0.0668482353349774
"154","us7000kg30",7.2,0.04,0.228466367859698
"155","3000105",7.66,0.05,-0.719844803667998
"156","3000177",7.38,0.05,-0.500410745601972
"157","4000001",9.12,0.05,-0.196342761768641
"158","4000002",7.36,0.05,-0.221924885477135
"159","4000068",8.29,0.05,-0.0551601160453015
"160","4000094",7.76,0.05,0.178454938352849
"161","4000095",8.26,0.05,-0.192678727586835
"162","4000096",7.65,0.05,0.249959149554058
"163","4000165",6.74,0.05,-0.311271024150852
"164","6000057",8.41,0.05,0.632425552243256
"165","6000079",8.15,0.05,-0.289943473733268
"166","6000149",8.81,0.05,-0.114288070784077
"167","6000272",8,0.05,0.0845283005541791
"168","6000323",7.98,0.05,-0.396864166134985
"169","6000338",8.31,0.05,-0.0266067200283561
"170","6000339",7.82,0.05,0.142230436976693
"171","ak0219neiszm",8.2,0.05,0.290951814087724
"172","us10007mn3",7.6,0.05,0.559064148838815
"173","us2000d3km",7.2,0.05,0.470808279668204
"174","us7000asvb",7.8,0.05,0.143632544695617
"175","us7000i9bw",7.6,0.05,0.0479793120370319
"176","us7000kg30",7.2,0.05,0.225301017971005
"177","3000105",7.66,0.075,-0.807365236682845
"178","3000177",7.38,0.075,-0.556460142597259
"179","4000001",9.12,0.075,-0.187508823094043
"180","4000002",7.36,0.075,-0.0802545750931049
"181","4000068",8.29,0.075,0.0181455438410307
"182","4000094",7.76,0.075,0.173905354003548
"183","4000095",8.26,0.075,-0.227101585936187
"184","4000096",7.65,0.075,0.363698325731551
"185","4000165",6.74,0.075,-0.302688762267106
"186","6000057",8.41,0.075,0.652736851622007
"187","6000079",8.15,0.075,-0.288683782530217
"188","6000149",8.81,0.075,-0.135521769644022
"189","6000272",8,0.075,0.0265218243283946
"190","6000323",7.98,0.075,-0.360651744194346
"191","6000338",8.31,0.075,0.0620645597176719
"192","6000339",7.82,0.075,0.067229280378765
"193","ak0219neiszm",8.2,0.075,0.250879777923077
"194","us10007mn3",7.6,0.075,0.536388594325442
"195","us2000d3km",7.2,0.075,0.493413709060666
"196","us7000asvb",7.8,0.075,0.0894650590363541
"197","us7000i9bw",7.6,0.075,-0.00480399340127043
"198","us7000kg30",7.2,0.075,0.216568215415545
"199","3000105",7.66,0.1,-0.832455037027663
"200","3000177",7.38,0.1,-0.488907781058249
"201","4000001",9.12,0.1,-0.159375572557347
"202","4000002",7.36,0.1,-0.0476000478551262
"203","4000068",8.29,0.1,0.0240681848986396
"204","4000094",7.76,0.1,0.22612261643434
"205","4000095",8.26,0.1,-0.250430742126328
"206","4000096",7.65,0.1,0.318107978220489
"207","4000165",6.74,0.1,-0.292294087823458
"208","6000057",8.41,0.1,0.640572135704139
"209","6000079",8.15,0.1,-0.283526665222241
"210","6000149",8.81,0.1,-0.138228089170743
"211","6000272",8,0.1,0.0261780696636469
"212","6000323",7.98,0.1,-0.394475770664492
"213","6000338",8.31,0.1,0.069607625678681
"214","6000339",7.82,0.1,0.0423625333423123
"215","ak0219neiszm",8.2,0.1,0.264033223285618
"216","us10007mn3",7.6,0.1,0.55192502968439
"217","us2000d3km",7.2,0.1,0.440585034579619
"218","us7000asvb",7.8,0.1,0.0842655765199971
"219","us7000i9bw",7.6,0.1,-0.0394271292758602
"220","us7000kg30",7.2,0.1,0.238906943427785
"221","3000105",7.66,0.15,-0.719902441638947
"222","3000177",7.38,0.15,-0.49140857022172
"223","4000001",9.12,0.15,-0.211387262475239
"224","4000002",7.36,0.15,-0.0621710438742286
"225","4000068",8.29,0.15,-0.0258726928880071
"226","4000094",7.76,0.15,0.274561819711151
"227","4000095",8.26,0.15,-0.151573149160471
"228","4000096",7.65,0.15,0.28246375857721
"229","4000165",6.74,0.15,-0.275229184234895
"230","6000057",8.41,0.15,0.634928596822881
"231","6000079",8.15,0.15,-0.26418175210295
"232","6000149",8.81,0.15,-0.0934550147562064
"233","6000272",8,0.15,0.0382497263276254
"234","6000323",7.98,0.15,-0.323176524885563
"235","6000338",8.31,0.15,-0.00274100697729585
