"","NGAsubEQID","Station_Name","M","Rp","Period","dWe"
"1","3000105","AALA",7.66,113.501598238023,-1,0.300107711269253
"2","3000105","ACAR",7.66,107.903151396654,-1,-0.18560652104769
"3","3000105","AFBR",7.66,107.18683981959,-1,0.380608117586388
"4","3000105","AORT",7.66,78.3829588257362,-1,-0.448571121642304
"5","3000105","APMR",7.66,91.2296271556924,-1,0.435188546251755
"6","3000105","ASRM",7.66,87.4442521781641,-1,0.719518841781081
"7","3000105","GCNS",7.66,66.8194041813634,-1,0.0555692933462502
"8","3000105","GJTS",7.66,64.4072289077736,-1,-0.305390752792773
"9","3000105","GLCR",7.66,103.857275973908,-1,0.439509494520196
"10","3000105","GLIB",7.66,66.4863129003361,-1,0.109295046856311
"11","3000105","GNSR",7.66,28.5172907452207,-1,-0.656593277542505
"12","3000105","GNYA",7.66,36.7855327808749,-1,-0.481805884777648
"13","3000105","GSTC",7.66,40.7685742964436,-1,-0.138788265049497
"14","3000105","GSTR",7.66,78.6159595180725,-1,-0.303643769066072
"15","3000105","GTGA",7.66,58.184797540227,-1,0.0614206496601897
"16","3000105","PJAC",7.66,71.0236616713386,-1,-0.147899964411678
"17","3000105","PPQR",7.66,48.279654736294,-1,0.233888378062521
"18","3000105","PPUN",7.66,60.8202261566288,-1,0.0871485011118143
"19","3000105","SCCH",7.66,108.126548502609,-1,-0.101223201759459
"20","3000177","COPL",7.38,27.5622968056912,-1,-0.478109825919398
"21","3000177","OCTT",7.38,117.286813079778,-1,0.239308282395969
"22","3000177","POZU",7.38,113.936410446179,-1,-0.545321725801443
"23","3000177","VIGA",7.38,50.9812404179134,-1,-0.634038101522643
"24","4000001","40320",9.12,345.75407096966,-1,-0.42440399623465
"25","4000001","41203",9.12,204.106205897937,-1,-0.397035785507982
"26","4000001","41204",9.12,146.877604746716,-1,-0.799403370674337
"27","4000001","41206",9.12,168.314624911427,-1,0.0220308803778542
"28","4000001","41207",9.12,158.944369014534,-1,-0.14856051431279
"29","4000001","41208",9.12,105.585657055179,-1,-0.167724790306607
"30","4000001","41209",9.12,153.057123478975,-1,0.829269314424505
"31","4000001","41215",9.12,168.559960752653,-1,0.51685990776422
"32","4000001","41216",9.12,112.221190403394,-1,-0.503190537611771
"33","4000001","41301",9.12,189.132324892819,-1,0.0183448346778547
"34","4000001","41303",9.12,219.281234365057,-1,0.0341069784626602
"35","4000001","41304",9.12,208.039113221541,-1,-0.50722626731897
"36","4000001","41306",9.12,306.947072585886,-1,-0.19314795036366
"37","4000001","41307",9.12,259.839133282505,-1,-0.0262605145931292
"38","4000001","41309",9.12,241.285934688905,-1,-0.0985601981153326
"39","4000001","41310",9.12,212.827539357594,-1,0.0118973159188682
"40","4000001","41311",9.12,192.540568623371,-1,0.0246464949484446
"41","4000001","41314",9.12,238.280212110746,-1,0.0297316322325356
"42","4000001","41315",9.12,170.696661073545,-1,-0.113723148249961
"43","4000001","41316",9.12,256.979265675451,-1,0.0961431218285314
"44","4000001","41317",9.12,213.499726192652,-1,0.0872493700571146
"45","4000001","41318",9.12,237.304703842592,-1,-0.119650328796078
"46","4000001","41319",9.12,254.494096060821,-1,-0.087076765369035
"47","4000001","41320",9.12,271.884111947516,-1,0.191929191111067
"48","4000001","41322",9.12,244.587610226069,-1,0.0591978778495674
"49","4000001","41323",9.12,273.926137987315,-1,0.00105524709081051
"50","4000001","41324",9.12,305.504628887348,-1,-0.0464493746753258
"51","4000001","41325",9.12,291.015855205514,-1,0.113665741238128
"52","4000001","41337",9.12,315.827506918115,-1,-0.0185732338636875
"53","4000001","41338",9.12,333.38136226263,-1,0.481675198273888
"54","4000001","41343",9.12,338.497321561085,-1,0.84634399756132
"55","4000001","41346",9.12,375.236703365751,-1,0.172782446384934
"56","4000001","41347",9.12,404.354995454399,-1,-0.142363830687563
"57","4000001","42203",9.12,255.963759075109,-1,-0.837740609373683
"58","4000001","42204",9.12,216.949173978631,-1,0.108382041089667
"59","4000001","42205",9.12,199.958362509279,-1,-0.355235555003398
"60","4000001","42206",9.12,200.031861312655,-1,-0.229970494851554
"61","4000001","42207",9.12,128.582846776465,-1,-0.629984336836726
"62","4000001","42209",9.12,158.742482757022,-1,-1.28197823072504
"63","4000001","42210",9.12,146.883857807129,-1,-0.392005917089164
"64","4000001","42211",9.12,133.444002436919,-1,0.408637921634541
"65","4000001","42212",9.12,134.353364830075,-1,0.789319158492986
"66","4000001","42213",9.12,131.041309843194,-1,0.431363188752349
"67","4000001","42214",9.12,159.845957464843,-1,0.235682043577892
"68","4000001","42226",9.12,156.65391245024,-1,0.288404318131438
"69","4000001","42227",9.12,146.650221425736,-1,-0.145391329609899
"70","4000001","42301",9.12,111.96760867709,-1,-0.18868124853905
"71","4000001","42302",9.12,124.679434234595,-1,0.000923196333471044
"72","4000001","42303",9.12,115.609167303455,-1,-0.0195611469982646
"73","4000001","42305",9.12,175.077130177626,-1,-0.0080813317597479
"74","4000001","42306",9.12,158.486978769051,-1,0.0244196786220745
"75","4000001","42307",9.12,160.786614367342,-1,0.298222112706735
"76","4000001","42308",9.12,174.52679084613,-1,-0.0568816497793003
"77","4000001","42310",9.12,223.300764533699,-1,-0.176502487887575
"78","4000001","42311",9.12,252.325105588988,-1,-0.136581323412583
"79","4000001","42312",9.12,278.554739895809,-1,-0.0780318607906549
"80","4000001","42313",9.12,142.770584937981,-1,-0.532306233101488
"81","4000001","42314",9.12,193.592007272536,-1,-0.274066208721762
"82","4000001","42315",9.12,338.621400440038,-1,-0.494542200073696
