"NGAsubEQID","Earthquake_Magnitude","Station_Name","Vs30_Selected_for_Analysis_m_s","PGAr","Fs - PGV_cm_sec","Fs - PGA_g","Fs - T = 0.01","Fs - T = 0.02","Fs - T = 0.025","Fs - T = 0.03","Fs - T = 0.04","Fs - T = 0.05","Fs - T = 0.075","Fs - T = 0.1","Fs - T = 0.15","Fs - T = 0.2","Fs - T = 0.25","Fs - T = 0.3","Fs - T = 0.4","Fs - T = 0.5","Fs - T = 0.75","Fs - T = 1.0","Fs - T = 1.5","Fs - T = 2.0","Fs - T = 2.5","Fs - T = 3.0","Fs - T = 4.0","Fs - T = 5.0","Fs - T = 7.5","Fs - T = 10.0"
"3000105",7.66,"AALA",568,0.0479045609661245,0.155120972717493,0.117359651372933,0.114591437966229,0.108611546728809,0.104300156831248,0.0984305628331034,0.0932659385374183,0.0892449594916022,0.0950606398826811,0.106848212924162,0.123759734930595,0.141763079568328,0.161078546086257,0.175388192411008,0.189335265496968,0.202015199280824,0.223551242257236,0.232580730422204,0.227454321651869,0.209688279194838,0.195904912826586,0.194810802740122,0.170350253517147,0.147345689366968,0.121720352085756,0.0934742416735114
"3000105",7.66,"ACAR",586,0.0517228436925738,0.13821255283047,0.104384034750183,0.101872176291352,0.0965241639112862,0.0926613660450062,0.0873977641595727,0.0827535430092627,0.0791220933155433,0.0842761525983239,0.0947478074454277,0.109764638819614,0.125714884481029,0.142764711678107,0.155317530733089,0.167591686153316,0.178830155997817,0.198098418279257,0.206320917416125,0.201958681229162,0.186296186126614,0.174175726321929,0.173939092637551,0.152099206566468,0.131559313713902,0.108679433068006,0.0834595646287799
"3000105",7.66,"AFBR",448,0.0520143117147767,0.267584231518164,0.193593918072859,0.186626293157494,0.175793512978211,0.168000807929478,0.157178927903068,0.147666932437923,0.140370341989614,0.151093286198582,0.172787971164478,0.204221483407881,0.238024963809327,0.273927819264607,0.300829898227574,0.327523045336831,0.352049595214631,0.392581160578539,0.410559477213836,0.403109836681144,0.372591300091674,0.349181029637131,0.353583359378947,0.309187242506254,0.267433751637888,0.220923533961734,0.169656589477791
"3000105",7.66,"AORT",425,0.0806587927463329,0.271211976176689,0.18083838508924,0.169966924127391,0.157974797331042,0.14928679306443,0.136869771027892,0.125812887883557,0.117286555835663,0.128843450283185,0.152477734044556,0.18708033131898,0.224345883013314,0.262682411124748,0.290940129481255,0.320159758875529,0.348322152904923,0.395420772559365,0.419332612315721,0.416294053861888,0.387530946214856,0.36625058803646,0.388842377854137,0.340019119648237,0.294102007764116,0.242953832500791,0.186574593858263
"3000105",7.66,"APMR",425,0.0674203492083627,0.279898599688403,0.192917832052337,0.183255437064902,0.171304186277266,0.162677438448085,0.150477829450385,0.139681015610425,0.131391883344527,0.143085588451618,0.166870965643348,0.201568360953805,0.238955757191982,0.277941433780324,0.306934952583581,0.336395556468255,0.364205451625863,0.410332334387726,0.432554445045435,0.42739745242126,0.396661926582219,0.37354657701495,0.388842377854137,0.340019119648237,0.294102007764116,0.242953832500791,0.186574593858263
"3000105",7.66,"ASRM",425,0.072532750171898,0.276433179999534,0.188098887927487,0.177954151207706,0.165986593448183,0.157335408130252,0.145049064922834,0.134148499690099,0.125764739541041,0.137403865748439,0.161128966107897,0.1957885429288,0.233127330811769,0.271854037742932,0.300554018170569,0.329918488299427,0.357869008468461,0.404383553496958,0.427279760422268,0.422967890586433,0.393019236289373,0.370635933561629,0.388842377854137,0.340019119648237,0.294102007764116,0.242953832500791,0.186574593858263
"3000105",7.66,"GCNS",429,0.0988143276415767,0.257215612108255,0.16453916976201,0.152503221281217,0.140650989954304,0.132022923086314,0.119548325512206,0.108355659956831,0.0996689168782144,0.110852895756559,0.133890279315945,0.167751898196128,0.204168817521148,0.241011601292146,0.267829200548433,0.29617508166872,0.324206175940849,0.371637657023809,0.397129895971956,0.396614829867134,0.370619260931125,0.351825314260154,0.382575353101729,0.33453898589613,0.289361926262294,0.239038112999286,0.183567546107107
"3000105",7.66,"GJTS",429,0.105866109914431,0.253544925649206,0.159434785723671,0.146887925023143,0.135018077377681,0.126363607081946,0.113796424723477,0.102492766331053,0.0937043044890127,0.104828983403431,0.12780045825905,0.1616186972335,0.197979331898641,0.234541159808177,0.261040643464116,0.289278931993323,0.317456094858617,0.365298846805566,0.391509079093883,0.391894593928418,0.366737532156348,0.348723670272451,0.382575353101729,0.33453898589613,0.289361926262294,0.239038112999286,0.183567546107107
"3000105",7.66,"GLCR",517,0.0509617297035369,0.200750501764971,0.149037205382137,0.14475022738444,0.136836059476879,0.131128653307189,0.123289990580825,0.116383926431341,0.11102594184187,0.118736085041412,0.134375799627485,0.156904805065099,0.180968328867167,0.206635403594113,0.225698647931593,0.244465351546245,0.261667693267448,0.290645767943054,0.303198849557856,0.2971409039444,0.274309822522521,0.256701109926926,0.257749348818433,0.225386201881589,0.194949432738606,0.161045183566674,0.123673454365795
"3000105",7.66,"GLIB",382,0.111278973991006,0.289271065246877,0.169924894260861,0.152644045897792,0.138429114962346,0.12811494565186,0.112888997480704,0.0992579087685767,0.0888477826115688,0.102572414248853,0.130746638328422,0.172562062125164,0.217953837114205,0.263335675756201,0.296642816803771,0.332364678215084,0.367972833899563,0.427009033042617,0.46005610525545,0.462265308957761,0.433628788220664,0.413471661156631,0.460203644706773,0.402420227434174,0.348076299284944,0.287541290713649,0.22081520172029
